"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Total renewable water resources per capita (actual) (m3/inhab/yr)","El Salvador",1962,8550.0,"K",,1967,7332.0,"K",,1972,6407.0,"K",,1977,5718.0,"K",,1982,5257.0,"K",,1987,4924.0,"K",,1992,4589.0,"K",,1997,4321.0,"K",,2002,4213.0,"K",,2007,4135.0,"K",,2012,4028.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Equatorial Guinea",1962,100775.0,"K",,1967,92199.0,"K",,1972,94545.0,"K",,1977,118182.0,"K",,1982,103586.0,"K",,1987,76246.0,"K",,1992,65000.0,"K",,1997,55085.0,"K",,2002,46931.0,"K",,2007,40373.0,"K",,2012,35135.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Eritrea",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,2193.0,"K",,2002,1841.0,"K",,2007,1524.0,"K",,2012,1311.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Estonia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,8384.0,"K",,1997,9130.0,"K",,2002,9440.0,"K",,2007,9538.0,"K",,2012,9560.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Ethiopia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,2017.0,"K",,2002,1767.0,"K",,2007,1570.0,"K",,2012,1410.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Faroe Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Fiji",1962,67654.0,"K",,1967,58504.0,"K",,1972,52578.0,"K",,1977,47742.0,"K",,1982,42740.0,"K",,1987,39543.0,"K",,1992,38374.0,"K",,1997,36003.0,"K",,2002,34988.0,"K",,2007,34192.0,"K",,2012,32591.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Finland",1962,24477.0,"K",,1967,24002.0,"K",,1972,23686.0,"K",,1977,23212.0,"K",,1982,22793.0,"K",,1987,22281.0,"K",,1992,21847.0,"K",,1997,21405.0,"K",,2002,21166.0,"K",,2007,20794.0,"K",,2012,20359.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","France",1962,4497.0,"K",,1967,4249.0,"K",,1972,4091.0,"K",,1977,3965.0,"K",,1982,3878.0,"K",,1987,3777.0,"K",,1992,3689.0,"K",,1997,3621.0,"K",,2002,3530.0,"K",,2007,3417.0,"K",,2012,3325.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Gabon",1962,334012.0,"K",,1967,321569.0,"K",,1972,297101.0,"K",,1977,261146.0,"K",,1982,226519.0,"K",,1987,194083.0,"K",,1992,165489.0,"K",,1997,142857.0,"K",,2002,127033.0,"K",,2007,115169.0,"K",,2012,104859.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Gambia",1962,20513.0,"K",,1967,18779.0,"K",,1972,16393.0,"K",,1977,13986.0,"K",,1982,11799.0,"K",,1987,9456.0,"K",,1992,7737.0,"K",,1997,6717.0,"K",,2002,5814.0,"K",,2007,5028.0,"K",,2012,4384.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Georgia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,11846.0,"K",,1997,12859.0,"K",,2002,13690.0,"K",,2007,14341.0,"K",,2012,14714.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Germany",1962,2079.0,"K",,1967,1999.0,"K",,1972,1961.0,"K",,1977,1959.0,"K",,1982,1976.0,"K",,1987,1975.0,"K",,1992,1918.0,"K",,1997,1871.0,"K",,2002,1868.0,"K",,2007,1866.0,"K",,2012,1878.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Ghana",1962,7409.0,"K",,1967,6528.0,"K",,1972,5803.0,"K",,1977,5170.0,"K",,1982,4576.0,"K",,1987,3901.0,"K",,1992,3398.0,"K",,1997,2980.0,"K",,2002,2645.0,"K",,2007,2342.0,"K",,2012,2083.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Greece",1962,8807.0,"K",,1967,8588.0,"K",,1972,8370.0,"K",,1977,8006.0,"K",,1982,7580.0,"K",,1987,7420.0,"K",,1992,7173.0,"K",,1997,6859.0,"K",,2002,6705.0,"K",,2007,6596.0,"K",,2012,6502.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Grenada",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Guatemala",1962,25347.0,"K",,1967,22145.0,"K",,1972,19350.0,"K",,1977,17008.0,"K",,1982,15055.0,"K",,1987,13357.0,"K",,1992,11910.0,"K",,1997,10618.0,"K",,2002,9432.0,"K",,2007,8331.0,"K",,2012,7352.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Guinea",1962,61986.0,"K",,1967,57028.0,"K",,1972,53453.0,"K",,1977,52412.0,"K",,1982,49453.0,"K",,1987,43714.0,"K",,1992,34952.0,"K",,1997,28314.0,"K",,2002,26264.0,"K",,2007,24109.0,"K",,2012,21563.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Guinea-Bissau",1962,51926.0,"K",,1967,52101.0,"K",,1972,49285.0,"K",,1977,41278.0,"K",,1982,35469.0,"K",,1987,32359.0,"K",,1992,29273.0,"K",,1997,26473.0,"K",,2002,24031.0,"K",,2007,21770.0,"K",,2012,19620.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Guyana",1962,407095.0,"K",,1967,356509.0,"K",,1972,327446.0,"K",,1977,316273.0,"K",,1982,312176.0,"K",,1987,326116.0,"K",,1992,332873.0,"K",,1997,330137.0,"K",,2002,326558.0,"K",,2007,321333.0,"K",,2012,317942.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Haiti",1962,3487.0,"K",,1967,3155.0,"K",,1972,2876.0,"K",,1977,2627.0,"K",,1982,2355.0,"K",,1987,2098.0,"K",,1992,1890.0,"K",,1997,1714.0,"K",,2002,1570.0,"K",,2007,1460.0,"K",,2012,1368.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Holy See",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Honduras",1962,44911.0,"K",,1967,38635.0,"K",,1972,33754.0,"K",,1977,29061.0,"K",,1982,24859.0,"K",,1987,21389.0,"K",,1992,18573.0,"K",,1997,16438.0,"K",,2002,14809.0,"K",,2007,13400.0,"K",,2012,12125.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Hungary",1962,10358.0,"K",,1967,10189.0,"K",,1972,10006.0,"K",,1977,9798.0,"K",,1982,9752.0,"K",,1987,9939.0,"K",,1992,10045.0,"K",,1997,10106.0,"K",,2002,10237.0,"K",,2007,10355.0,"K",,2012,10452.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Iceland",1962,928962.0,"K",,1967,862944.0,"K",,1972,809524.0,"K",,1977,765766.0,"K",,1982,729614.0,"K",,1987,688259.0,"K",,1992,653846.0,"K",,1997,622711.0,"K",,2002,592334.0,"K",,2007,555556.0,"K",,2012,518293.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","India",1962,4098.0,"K",,1967,3688.0,"K",,1972,3296.0,"K",,1977,2930.0,"K",,1982,2607.0,"K",,1987,2331.0,"K",,1992,2100.0,"K",,1997,1910.0,"K",,2002,1755.0,"K",,2007,1628.0,"K",,2012,1519.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Indonesia",1962,20905.0,"K",,1967,18419.0,"K",,1972,16216.0,"K",,1977,14351.0,"K",,1982,12798.0,"K",,1987,11553.0,"K",,1992,10598.0,"K",,1997,9846.0,"K",,2002,9218.0,"K",,2007,8685.0,"K",,2012,8249.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Iran (Islamic Republic of)",1962,5914.0,"K",,1967,5180.0,"K",,1972,4537.0,"K",,1977,3931.0,"K",,1982,3299.0,"K",,1987,2737.0,"K",,1992,2401.0,"K",,1997,2211.0,"K",,2002,2038.0,"K",,2007,1918.0,"K",,2012,1812.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Iraq",1962,11561.0,"K",,1967,9924.0,"K",,1972,8398.0,"K",,1977,7149.0,"K",,1982,6215.0,"K",,1987,5559.0,"K",,1992,4879.0,"K",,1997,4143.0,"K",,2002,3561.0,"K",,2007,3103.0,"K",,2012,2666.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Ireland",1962,18342.0,"K",,1967,17931.0,"K",,1972,17111.0,"K",,1977,15834.0,"K",,1982,14934.0,"K",,1987,14702.0,"K",,1992,14652.0,"K",,1997,14169.0,"K",,2002,13211.0,"K",,2007,12118.0,"K",,2012,11356.0,"K",,,,"",
