name,CountryCode,id,lat,lon,1961 green,1962 green,1963 green,1964 green,1965 green,1966 green,1967 green,1968 green,1969 green,1970 green,1971 green,1972 green,1973 green,1974 green,1975 green,1976 green,1977 green,1978 green,1979 green,1980 green,1981 green,1982 green,1983 green,1984 green,1985 green,1986 green,1987 green,1988 green,1989 green,1990 green,1991 green,1992 green,1993 green,1994 green,1995 green,1996 green,1997 green,1998 green,1999 green,2000 green,2001 green,2002 green,2003 green,2004 green,2005 green,2006 green,2007 green,2008 green,2009 green,2010 green,2011 green,2012 green,1961 blue,1962 blue,1963 blue,1964 blue,1965 blue,1966 blue,1967 blue,1968 blue,1969 blue,1970 blue,1971 blue,1972 blue,1973 blue,1974 blue,1975 blue,1976 blue,1977 blue,1978 blue,1979 blue,1980 blue,1981 blue,1982 blue,1983 blue,1984 blue,1985 blue,1986 blue,1987 blue,1988 blue,1989 blue,1990 blue,1991 blue,1992 blue,1993 blue,1994 blue,1995 blue,1996 blue,1997 blue,1998 blue,1999 blue,2000 blue,2001 blue,2002 blue,2003 blue,2004 blue,2005 blue,2006 blue,2007 blue,2008 blue,2009 blue,2010 blue,2011 blue,2012 blue
Cabo Verde,35,132,16.0020820,-24.0131970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,115,116,13,105,106817,13983,13983,20974,23305,20974,30716,31462,26801,8157,583,583,583,350,350,7574,19410,13584,1398,1165,2330,2330,1165,2330,3496,11652,5826,1165,1165,1165,1165,1165,2060,1070,1048,968,967,990,1012,1012,1012,1012,1011,1012,1012,1012,1012,1012,1012,1012,1012,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,32,120,6,12,104185,175084,191647,186065,244958,239791,210887,292040,393437,316038,183931,186607,120368,174233,220922,210887,178537,262189,361011,373513,358311,331117,428854,420633,514080,543314,520689,728936,494438,525843,533287,590168,580376,715784,841756,955091,794909,820988,858763,949277,1061082,997815,869671,721079,1271442,1105817,1075460,735916,559603,758943,807096,1003504,2,3,3,3,4,4,4,5,7,5,3,3,2,3,4,4,3,5,6,6,6,6,7,7,9,9,9,13,9,9,9,10,10,12,14,16,14,14,15,16,18,17,15,12,22,19,18,13,10,13,14,17
Canada,33,124,60,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,36,132,16,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,37,140,7,21,201257,231767,198044,207522,177519,296442,356880,432442,440511,391825,336750,377997,329188,345993,243678,307686,207015,236981,221536,190125,149544,267528,246768,329434,301139,212442,167284,220693,211722,279365,172423,191581,128258,221897,266271,354179,371879,309092,169857,189061,198862,95580,6592,9793,9793,24102,27206,18282,57976,77363,77571,148475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,39,148,15,19,389086,790004,880782,835768,731185,1049790,877228,1279095,995548,817017,943575,895491,986995,1231943,1491884,1242087,1046273,1153847,761673,715815,600699,886251,1384981,826264,882104,787075,1103756,1209819,1332007,1390710,1550358,1059452,856168,1360030,1387418,1928339,2324750,1421877,1650803,1341346,1606169,1633011,1132501,1872588,1730335,1017171,922503,925231,492327,403340,574867,857635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,40,152,-30,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, Hong Kong SAR",96,,22.3964280,114.1094970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, Macao SAR",128,,22.1987450,113.5438730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
