name,CountryCode,id,lat,lon,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Cameroon,32,120,6,12,4.32,6.97,7.48,7.03,9,8.56,7.36,9.94,13.05,9.6,5.86,5.98,3.59,5.02,6.23,5.8,4.81,6.84,9.22,9.31,8.67,7.64,9.68,8.17,10.21,11.34,10.31,14.51,9.12,8.98,8.9,9.32,8.92,11.26,10.74,11.52,10.07,10.27,9.97,11.93,12.34,11.67,10.4,9.67,17.2,14.72,13.96,8.83,6.76,9.05,9.64,11.77
Canada,33,124,60,-95,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Cayman Islands,36,132,16,-24,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Central African Republic,37,140,7,21,17.85,21,17.09,17.81,14.68,23.65,28.27,33.05,32.98,28.32,23.97,26.3,22.92,23.43,16.41,19.64,13.28,14.82,15.18,12.49,9.74,15.76,14.09,16.04,19.94,12.82,9.8,9.8,9.29,12.77,7.21,7.83,5.11,8.45,9.75,11.93,13.24,10.87,5.83,5.99,6.61,3.05,0.23,0.32,0.32,0.76,0.73,0.51,1.6,2.28,2.24,4.21
Chad,39,148,15,19,15.18,30.11,32.65,30.06,25.84,35.91,29.26,41.87,32,25.53,28.52,26.56,28.38,35.28,41.48,33.55,27.83,30.01,19.47,17.77,14.57,21.59,32.69,19.26,19.34,17,23.1,24.46,26.01,26.58,27.98,17.97,14.84,20.9,21.66,28.57,33.41,19.39,21.62,18.43,20.88,20.54,13.85,21.69,20.77,11.45,9.01,8.83,4.57,4.39,6.08,8.84
Chile,40,152,-30,-71,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
"China, Hong Kong SAR",96,,22.3964280,114.1094970,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
"China, Macao SAR",128,,22.1987450,113.5438730,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
"China, Taiwan Province of",214,158,23.6978100,121,0.13,0.18,0.2,0.23,0.18,0.14,0.13,0.15,0.12,0.18,0.1,0.09,0.08,0.06,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
"China, mainland",41,,35,105,3.63,3.35,5.27,7.17,8.85,9.61,9.42,9.16,7.87,8.39,7.56,6.86,8.76,8.24,7.82,6.63,6.51,6.79,6.82,8.25,8.92,10.66,13.53,17.98,11.71,9.81,11.54,11.06,9.92,11.6,14.39,11.28,9.25,10.62,11.56,10.1,10.99,10.67,9.02,10.35,12.4,11.39,11.19,14.48,12.98,15.26,17.14,16.74,14.16,13.17,14.44,14.9
China,351,156,35,105,3.55,3.28,5.16,7.01,8.65,9.39,9.21,8.95,7.69,8.2,7.39,6.7,8.57,8.06,7.65,6.49,6.37,6.64,6.67,8.06,8.72,10.41,13.22,17.56,11.44,9.59,11.28,10.82,9.7,11.35,14.07,11.03,9.04,10.39,11.31,9.88,10.74,10.44,8.82,10.12,12.12,11.13,10.94,14.15,12.69,14.92,16.76,16.37,13.84,12.88,14.13,14.57
Colombia,44,170,4,-72,12.64,13.2,11.35,10,9.64,10.49,12.96,15.86,16.28,16,13.73,17.43,13.72,16.85,15.58,15.36,17.43,11.54,9.7,12.33,11.65,4.79,3.99,7.63,10.09,9.89,9.42,10.45,8.66,9.06,11.72,8.5,5.02,3.93,3.94,4.86,2.72,2.48,2.59,2.59,2.69,2.16,2.03,3.22,2.66,2.03,2.18,1.34,1.38,1.78,1.75,1.61
Comoros,45,174,-12.1667,44.25,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Congo,46,178,-1,15,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Cook Islands,47,184,-21.2333,-159.7667,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Costa Rica,48,188,10,-84,2.41,2.88,3.19,5.85,8.36,6.76,7.52,5.43,2.23,0.43,0.46,0.18,0.74,0.83,0.27,2.46,9.74,3.68,4.91,4.98,6.1,1.96,1.38,1.3,1.25,0.61,0.44,1.05,0.24,0.23,0.12,0.11,0.08,0.08,0.09,0.08,0.07,0.07,0.07,0.06,0.08,0.05,0.06,0.05,0.13,0.13,0.18,0.25,0.11,0.12,0.12,0.13
Croatia,98,191,45.1667,41774,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Cuba,49,192,21.5217570,-77.7811670,1.93,1.45,1.4,0.34,0.31,0.17,0.37,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Cyprus,50,196,35,33,0.73,0.79,0.83,0.25,0.73,0.57,0.93,0.66,1.17,0.33,0.41,0.16,0.02,    ,    ,0.03,0.03,0.04,0.04,0.02,0.01,0.01,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Czech Republic,167,203,49.75,41774,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
