"name","CountryCode","id","lat","lon","1961 cotton_total","1962 cotton_total","1963 cotton_total","1964 cotton_total","1965 cotton_total","1966 cotton_total","1967 cotton_total","1968 cotton_total","1969 cotton_total","1970 cotton_total","1971 cotton_total","1972 cotton_total","1973 cotton_total","1974 cotton_total","1975 cotton_total","1976 cotton_total","1977 cotton_total","1978 cotton_total","1979 cotton_total","1980 cotton_total","1981 cotton_total","1982 cotton_total","1983 cotton_total","1984 cotton_total","1985 cotton_total","1986 cotton_total","1987 cotton_total","1988 cotton_total","1989 cotton_total","1990 cotton_total","1991 cotton_total","1992 cotton_total","1993 cotton_total","1994 cotton_total","1995 cotton_total","1996 cotton_total","1997 cotton_total","1998 cotton_total","1999 cotton_total","2000 cotton_total","2001 cotton_total","2002 cotton_total","2003 cotton_total","2004 cotton_total","2005 cotton_total","2006 cotton_total","2007 cotton_total","2008 cotton_total","2009 cotton_total","2010 cotton_total","2011 cotton_total","2012 cotton_total",,,"1961 cotton_pc","1962 cotton_pc","1963 cotton_pc","1964 cotton_pc","1965 cotton_pc","1966 cotton_pc","1967 cotton_pc","1968 cotton_pc","1969 cotton_pc","1970 cotton_pc","1971 cotton_pc","1972 cotton_pc","1973 cotton_pc","1974 cotton_pc","1975 cotton_pc","1976 cotton_pc","1977 cotton_pc","1978 cotton_pc","1979 cotton_pc","1980 cotton_pc","1981 cotton_pc","1982 cotton_pc","1983 cotton_pc","1984 cotton_pc","1985 cotton_pc","1986 cotton_pc","1987 cotton_pc","1988 cotton_pc","1989 cotton_pc","1990 cotton_pc","1991 cotton_pc","1992 cotton_pc","1993 cotton_pc","1994 cotton_pc","1995 cotton_pc","1996 cotton_pc","1997 cotton_pc","1998 cotton_pc","1999 cotton_pc","2000 cotton_pc","2001 cotton_pc","2002 cotton_pc","2003 cotton_pc","2004 cotton_pc","2005 cotton_pc","2006 cotton_pc","2007 cotton_pc","2008 cotton_pc","2009 cotton_pc","2010 cotton_pc","2011 cotton_pc","2012 cotton_pc",,,"1961 green_total","1962 green_total","1963 green_total","1964 green_total","1965 green_total","1966 green_total","1967 green_total","1968 green_total","1969 green_total","1970 green_total","1971 green_total","1972 green_total","1973 green_total","1974 green_total","1975 green_total","1976 green_total","1977 green_total","1978 green_total","1979 green_total","1980 green_total","1981 green_total","1982 green_total","1983 green_total","1984 green_total","1985 green_total","1986 green_total","1987 green_total","1988 green_total","1989 green_total","1990 green_total","1991 green_total","1992 green_total","1993 green_total","1994 green_total","1995 green_total","1996 green_total","1997 green_total","1998 green_total","1999 green_total","2000 green_total","2001 green_total","2002 green_total","2003 green_total","2004 green_total","2005 green_total","2006 green_total","2007 green_total","2008 green_total","2009 green_total","2010 green_total","2011 green_total","2012 green_total",,,,"1961 blue_total","1962 blue_total","1963 blue_total","1964 blue_total","1965 blue_total","1966 blue_total","1967 blue_total","1968 blue_total","1969 blue_total","1970 blue_total","1971 blue_total","1972 blue_total","1973 blue_total","1974 blue_total","1975 blue_total","1976 blue_total","1977 blue_total","1978 blue_total","1979 blue_total","1980 blue_total","1981 blue_total","1982 blue_total","1983 blue_total","1984 blue_total","1985 blue_total","1986 blue_total","1987 blue_total","1988 blue_total","1989 blue_total","1990 blue_total","1991 blue_total","1992 blue_total","1993 blue_total","1994 blue_total","1995 blue_total","1996 blue_total","1997 blue_total","1998 blue_total","1999 blue_total","2000 blue_total","2001 blue_total","2002 blue_total","2003 blue_total","2004 blue_total","2005 blue_total","2006 blue_total","2007 blue_total","2008 blue_total","2009 blue_total","2010 blue_total","2011 blue_total","2012 blue_total",,,,"1961 green_pc","1962 green_pc","1963 green_pc","1964 green_pc","1965 green_pc","1966 green_pc","1967 green_pc","1968 green_pc","1969 green_pc","1970 green_pc","1971 green_pc","1972 green_pc","1973 green_pc","1974 green_pc","1975 green_pc","1976 green_pc","1977 green_pc","1978 green_pc","1979 green_pc","1980 green_pc","1981 green_pc","1982 green_pc","1983 green_pc","1984 green_pc","1985 green_pc","1986 green_pc","1987 green_pc","1988 green_pc","1989 green_pc","1990 green_pc","1991 green_pc","1992 green_pc","1993 green_pc","1994 green_pc","1995 green_pc","1996 green_pc","1997 green_pc","1998 green_pc","1999 green_pc","2000 green_pc","2001 green_pc","2002 green_pc","2003 green_pc","2004 green_pc","2005 green_pc","2006 green_pc","2007 green_pc","2008 green_pc","2009 green_pc","2010 green_pc","2011 green_pc","2012 green_pc",,,,"1961 blue_pc","1962 blue_pc","1963 blue_pc","1964 blue_pc","1965 blue_pc","1966 blue_pc","1967 blue_pc","1968 blue_pc","1969 blue_pc","1970 blue_pc","1971 blue_pc","1972 blue_pc","1973 blue_pc","1974 blue_pc","1975 blue_pc","1976 blue_pc","1977 blue_pc","1978 blue_pc","1979 blue_pc","1980 blue_pc","1981 blue_pc","1982 blue_pc","1983 blue_pc","1984 blue_pc","1985 blue_pc","1986 blue_pc","1987 blue_pc","1988 blue_pc","1989 blue_pc","1990 blue_pc","1991 blue_pc","1992 blue_pc","1993 blue_pc","1994 blue_pc","1995 blue_pc","1996 blue_pc","1997 blue_pc","1998 blue_pc","1999 blue_pc","2000 blue_pc","2001 blue_pc","2002 blue_pc","2003 blue_pc","2004 blue_pc","2005 blue_pc","2006 blue_pc","2007 blue_pc","2008 blue_pc","2009 blue_pc","2010 blue_pc","2011 blue_pc","2012 blue_pc",,,,"1961 water_pc","1962 water_pc","1963 water_pc","1964 water_pc","1965 water_pc","1966 water_pc","1967 water_pc","1968 water_pc","1969 water_pc","1970 water_pc","1971 water_pc","1972 water_pc","1973 water_pc","1974 water_pc","1975 water_pc","1976 water_pc","1977 water_pc","1978 water_pc","1979 water_pc","1980 water_pc","1981 water_pc","1982 water_pc","1983 water_pc","1984 water_pc","1985 water_pc","1986 water_pc","1987 water_pc","1988 water_pc","1989 water_pc","1990 water_pc","1991 water_pc","1992 water_pc","1993 water_pc","1994 water_pc","1995 water_pc","1996 water_pc","1997 water_pc","1998 water_pc","1999 water_pc","2000 water_pc","2001 water_pc","2002 water_pc","2003 water_pc","2004 water_pc","2005 water_pc","2006 water_pc","2007 water_pc","2008 water_pc","2009 water_pc","2010 water_pc","2011 water_pc","2012 water_pc"
"Sri Lanka",38,144,7,81,2998,238,1720,636,963,1800,1629,652,2024,1467,2085,2685,2847,3162,6201,7932,6579,9609,11400,4779,5700,4605,1500,71,3,15,15,5,14,2,,,,,,,,,,,,,,,,,,,,,,,,,0.296,0.023,0.162,0.059,0.087,0.158,0.14,0.055,0.166,0.118,0.164,0.207,0.215,0.234,0.451,0.566,0.461,0.661,0.771,0.318,0.373,0.297,0.095,0.004,,0.001,0.001,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,18967.008,1500.879,10872.701,4021.916,6089.787,11382.78,10263.815,4118.918,12966.421,9276.966,13185.054,16979.314,18003.764,19995.75,39213.677,50160.117,41604.061,60765.074,72090.94,30221.281,36045.47,29120.946,9485.65,453.165,18.971,94.857,94.857,35.797,92.711,16.825,,,,,,,,,,,,,,,,,,,,,,,,,,5454.724,431.638,3126.881,1156.663,1751.363,3273.575,2951.772,1184.56,3729.015,2667.964,3791.891,4883.083,5177.705,5750.58,11277.467,14425.555,11964.917,17475.436,20732.643,8691.342,10366.321,8374.897,2727.979,130.326,5.456,27.28,27.28,10.295,26.663,4.839,,,,,,,,,,,,,,,,,,,,,,,,,,1.873,0.145,1.025,0.37,0.548,1,0.88,0.345,1.062,0.743,1.034,1.306,1.359,1.481,2.851,3.58,2.915,4.181,4.876,2.01,2.361,1.879,0.603,0.028,0.001,0.006,0.006,0.002,0.005,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,0.539,0.042,0.295,0.107,0.158,0.288,0.253,0.099,0.305,0.214,0.297,0.376,0.391,0.426,0.82,1.03,0.838,1.203,1.402,0.578,0.679,0.54,0.174,0.008,,0.002,0.002,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,5038,5038,4929.4,4820.8,4712.2,4603.6,4495,4404.4,4313.8,4223.2,4132.6,4042,3970.8,3899.6,3828.4,3757.2,3686,3628.2,3570.4,3512.6,3454.8,3397,3351,3305,3259,3213,3167,3128.8,3090.6,3052.4,3014.2,2976,2953.8,2931.6,2909.4,2887.2,2865,2843.8,2822.6,2801.4,2780.2,2759,2728.2,2697.4,2666.6,2635.8,2605,2581.6,2558.2,2534.8,2511.4,2488
"Sudan (former)",206,729,15,30,335380,603033,467600,303341,440800,442371,528810,519278,645831,665265,720362,675139,547607,665548,647627,312000,456000,546000,376000,330900,278600,442500,563000,621000,588000,408000,523000,439000,404000,282000,228000,168000,146667,145000,255000,257440,223000,160050,142590,144980,223480,169540,227000,235620,307890,252450,241600,107000,169000,46600,69140,280920,,,31.166,54.563,41.176,25.989,36.724,35.828,41.612,39.694,47.935,47.93,50.364,45.797,36.022,42.432,39.992,18.65,26.377,30.549,20.343,17.306,14.081,21.61,26.583,28.392,26.082,17.598,21.972,17.976,16.115,10.942,8.591,6.14,5.197,4.984,8.51,8.352,7.038,4.917,4.263,4.217,6.32,4.661,6.066,6.119,7.77,6.191,5.759,2.479,3.809,1.022,1.477,5.848,,,710811.239,1283870.719,971820.866,617791.662,923838.157,931026.718,1112948.747,1092889.727,1359235.207,1400138.504,1516095.436,1420918.637,1152511.544,1561585.992,1381546.565,655576.925,962837.149,1183812.433,736630.899,696742.498,586052.651,931112.354,1163141.663,1321252.13,1233323.438,872601.345,1025669.996,695146.828,817021.514,724068.33,515940.677,344255.278,296930.399,324201.249,522530.332,585148.296,443419.819,332432.192,296166.862,303798.995,459999.273,356779.302,421832.599,492484.215,643540.298,538018.29,514837.471,226500.698,357744.093,99822.042,146117.93,593026.897,,,,1542701.125,2786434.279,2109180.412,1340817.138,2005041.683,2020643.296,2415475.713,2371940.846,2950000.742,3038774.75,3290440.564,3083874.676,2501340.381,3389170.478,2998423.944,1422823.957,2089682.704,2569273.91,1598738.531,1512167.192,1271932.735,2020829.156,2524411.339,2867564.6,2676729.56,1893840.45,2226051.262,1508704.048,1773213.391,1571473.502,1119766.006,747150.544,644439.529,703626.511,1134067.79,1269969.979,962371.183,721490.445,642782.396,659346.71,998354.213,774331.918,915519.604,1068857.541,1396700.4,1167681.904,1117371.676,491583.225,776425.842,216647.639,317125.395,1287069.212,,,,66.054,116.166,85.578,52.929,76.967,75.405,87.579,83.541,100.886,100.875,105.998,96.386,75.813,99.559,85.312,39.188,55.694,66.235,39.855,36.441,29.621,45.471,54.92,60.408,54.707,37.636,43.09,28.465,32.59,28.094,19.441,12.582,10.522,11.143,17.439,18.984,13.996,10.212,8.855,8.836,13.009,9.809,11.272,12.789,16.241,13.195,12.271,5.248,8.062,2.189,3.121,12.346,,,,143.36,252.12,185.733,114.875,167.045,163.655,190.075,181.313,218.956,218.932,230.052,209.19,164.54,216.077,185.156,85.051,120.875,143.752,86.498,79.088,64.288,98.688,119.194,131.107,118.734,81.684,93.52,61.779,70.73,60.974,42.193,27.307,22.836,24.185,37.848,41.201,30.375,22.164,19.218,19.177,28.235,21.289,24.463,27.756,35.248,28.637,26.633,11.39,17.497,4.752,6.774,26.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5583
"Sudan",276,736,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016
"Suriname",207,740,4,-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398693,398693,388470,378247,368024,357801,347578,343478,339378,335278,331178,327078,328880,330682,332484,334286,336088,335174.8,334261.6,333348.4,332435.2,331522,328266.6,325011.2,321755.8,318500.4,315245,310429.8,305614.6,300799.4,295984.2,291169,287399.4,283629.8,279860.2,276090.6,272321,268690.2,265059.4,261428.6,257797.8,254167,251176.8,248186.6,245196.4,242206.2,239216,237065.6,234915.2,232764.8,230614.4,228464
"Swaziland",209,748,-26.522503,31.465866,7200,3988,5774,4620,6064,7972,11464,7649,5788,7090,9790,10695,12487,17600,20420,18304,14400,22000,15800,22800,24500,14100,8900,17600,16900,19550,14700,26100,32000,38658,39141,8729,14900,11150,8365,18931,24095,22678,22138,11202,9000,5900,1821,4809,4728,1464,1080,1180,1100,1770,1490,1408,,,20.112,10.896,15.439,12.063,15.469,19.88,27.893,18.126,13.336,15.897,21.329,22.659,25.641,35.06,39.497,34.341,26.182,38.732,27.009,37.811,39.452,22.066,13.526,25.882,23.972,26.599,19.166,32.584,38.369,44.795,44.127,9.613,16.091,11.811,8.686,19.219,23.928,22.039,21.124,10.528,8.372,5.453,1.674,4.392,4.279,1.309,0.952,1.023,0.937,1.484,1.229,1.144,,,42593.518,23248.139,33868.415,26861.835,35623.071,46488.248,67568.209,44667.348,33896.518,41200.191,58345.275,64101.606,73139.308,104508.326,120956.285,108805.911,84014.522,127410.995,91514.919,132534.446,142982.086,82239.792,51868.645,102163.298,98413.1,113699.043,85789.252,152056.475,186177.82,225338.307,228652.902,50939.125,87363.243,65179.119,42376.043,95818.498,140996.581,113447.246,128860.528,65869.76,53241.897,34121.346,10690.535,28413.745,27782.141,8566.881,6389.028,7762.28,8539.7,10470.906,9908.838,9369.028,,,,0.059,0.032,0.047,0.037,0.049,0.064,0.093,0.062,0.047,0.057,0.081,0.089,0.101,0.145,0.167,0.15,0.116,0.176,0.127,0.183,0.198,0.114,0.072,0.141,0.136,0.157,0.119,0.21,0.257,0.312,0.316,0.07,0.121,0.09,0.059,0.132,0.195,0.157,0.178,0.091,0.074,0.047,0.015,0.039,0.038,0.012,0.009,0.011,0.012,0.014,0.014,0.013,,,,118.976,63.52,90.557,70.135,90.875,115.931,164.4,105.847,78.103,92.377,127.114,135.808,150.183,208.184,233.958,204.139,152.754,224.315,156.436,219.792,230.245,128.701,78.828,150.24,139.593,154.693,111.85,189.833,223.235,261.11,257.782,56.1,94.345,69.046,44.004,97.278,140.016,110.25,122.959,61.908,49.527,31.535,9.826,25.949,25.142,7.663,5.629,6.726,7.274,8.777,8.176,7.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12322,12322,12052.2,11782.4,11512.6,11242.8,10973,10689.4,10405.8,10122.2,9838.6,9555,9284,9013,8742,8471,8200,7971.6,7743.2,7514.8,7286.4,7058,6820.8,6583.6,6346.4,6109.2,5872,5691,5510,5329,5148,4967,4869.4,4771.8,4674.2,4576.6,4479,4416,4353,4290,4227,4164,4127.4,4090.8,4054.2,4017.6,3981,3924.2,3867.4,3810.6,3753.8,3697
"Sweden",210,752,62,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22973,22973,22804.2,22635.4,22466.6,22297.8,22129,21990,21851,21712,21573,21434,21367.4,21300.8,21234.2,21167.6,21101,21062,21023,20984,20945,20906,20861.2,20816.4,20771.6,20726.8,20682,20555.2,20428.4,20301.6,20174.8,20048,19968.8,19889.6,19810.4,19731.2,19652,19630.8,19609.6,19588.4,19567.2,19546,19435.6,19325.2,19214.8,19104.4,18994,18860.2,18726.4,18592.6,18458.8,18325
"Switzerland",211,756,47,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9722,9722,9563.4,9404.8,9246.2,9087.6,8929,8849.8,8770.6,8691.4,8612.2,8533,8513.8,8494.6,8475.4,8456.2,8437,8437,8437,8437,8437,8437,8388,8339,8290,8241,8192,8123.6,8055.2,7986.8,7918.4,7850,7789.2,7728.4,7667.6,7606.8,7546,7511.6,7477.2,7442.8,7408.4,7374,7321.6,7269.2,7216.8,7164.4,7112,7073.2,7034.4,6995.6,6956.8,6918
"Syrian Arab Republic",212,760,35,38,324833,403895,410000,470068,476189,375424,329086,394000,382400,382600,407500,424000,404800,386500,414300,408900,394800,377000,343979,322819,355880,410995,526000,415000,445000,409000,340600,472154,422000,432300,549100,682200,617558,533000,588062,735196,1016360,961200,908179,1048227,1007000,766400,810000,982046,996900,685700,598600,623900,648138,472495,587904,399000,,,68.487,82.478,81.06,89.965,88.216,67.292,57.064,66.074,62.007,59.978,61.752,62.088,57.288,52.858,54.773,52.269,48.813,45.08,39.757,36.045,38.362,42.75,52.806,40.237,41.717,37.111,29.945,40.252,34.911,34.717,42.838,51.729,45.533,38.219,41.014,49.857,67.002,61.651,56.775,64.03,60.296,45.096,46.826,55.558,54.874,36.464,30.602,30.665,30.817,21.943,26.963,18.228,,,22945.583,28536.738,29038.735,33341.398,34076.251,26786.956,23803.741,28308.006,27359.526,27897.717,29389.957,29627.516,29394.871,28635.533,27658.469,29290.98,28328.96,27148.05,24407.477,22459.78,24985.016,29727.558,36912.702,30077.827,32048.233,29813.925,23603.036,33897.15,29582.942,30307.18,38924.595,48399.971,41214.089,37654.518,41224.917,50752.712,70427.506,63860.803,60103.782,68273.79,66053.166,48974.757,54893.284,64976.296,65554.69,46525.289,40886.991,42752.647,43644.326,32059.59,32801.409,21780.306,,,,702611.922,873817.529,889189.062,1020940.005,1043441.789,820237.819,728889.39,866813.556,837770.338,854250.2,899943.761,907217.998,900094.24,876842.696,846924.208,896913.003,867455.184,831294.776,747376.28,687736.248,765060.983,910281.37,1130296.151,921006.89,981342.273,912926.001,722743.64,1037957.564,905853.098,928029.849,1191901.912,1482045.425,1262008.043,1153011.148,1262339.601,1554088.242,2156546.016,1955468.353,1840425.407,2090597.509,2022600.259,1499645.835,1680875.811,1989625.647,2007336.518,1424641.176,1251992.031,1309119.9,1336423.832,981690.047,1004405.115,666930.203,,,,4.838,5.827,5.741,6.381,6.313,4.801,4.128,4.747,4.436,4.373,4.454,4.338,4.16,3.916,3.657,3.744,3.503,3.246,2.821,2.508,2.693,3.092,3.706,2.916,3.004,2.705,2.075,2.89,2.447,2.434,3.037,3.67,3.039,2.7,2.875,3.442,4.643,4.096,3.757,4.17,3.955,2.882,3.173,3.676,3.608,2.474,2.09,2.101,2.075,1.489,1.504,0.995,,,,148.137,178.439,175.799,195.395,193.302,147.022,126.39,145.365,135.847,133.916,136.376,132.848,127.384,119.918,111.968,114.651,107.252,99.402,86.382,76.791,82.469,94.683,113.472,89.297,91.998,82.835,63.543,88.487,74.938,74.529,92.987,112.378,93.048,82.677,88.042,105.39,142.168,125.423,115.055,127.701,121.107,88.24,97.172,112.561,110.494,75.759,64.005,64.343,63.542,45.59,46.065,30.467,,,,3448,3448,3342.6,3237.2,3131.8,3026.4,2921,2829.6,2738.2,2646.8,2555.4,2464,2388,2312,2236,2160,2084,2019.2,1954.4,1889.6,1824.8,1760,1706.2,1652.4,1598.6,1544.8,1491,1450,1409,1368,1327,1286,1255,1224,1193,1162,1131,1102.9,1074.8,1046.6,1018.5,990.4,966.2,942,917.9,893.7,869.5,854.7,839.9,825.1,810.3,795.5
"Tajikistan",208,762,39,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276000,494000,484000,372000,297000,314000,322395,268977,286000,405000,461000,478000,482000,397300,382000,370000,310500,254000,266000,332400,341000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.973,87.947,84.868,64.315,50.665,52.889,53.616,44.131,46.233,64.398,71.986,73.201,72.329,58.375,54.925,52.032,42.68,34.108,34.876,42.534,42.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233770.174,279543.659,263999.247,204646.19,179457.085,173023.015,180241.823,152175.57,149996.272,226464.227,257725.622,268196.796,268920.356,231727.814,217020.868,213793.61,179257.655,142094.637,148491.628,169377.977,189529.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647283.637,1969830.821,1860295.657,1442058.726,1264561.317,1219223.031,1270091.049,1072319.54,1056962.914,1595801.584,1816087.963,1889874.083,1894972.717,1632891.95,1529258.064,1506516.888,1263156.017,1001283.295,1046360.297,1193537.928,1335536.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.327,49.767,46.291,35.381,30.614,29.143,29.975,24.967,24.248,36.01,40.244,41.071,40.354,34.048,31.204,30.065,24.64,19.081,19.469,21.673,23.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.259,350.691,326.196,249.319,215.722,205.36,211.224,175.934,170.864,253.745,283.587,289.414,284.36,239.919,219.879,211.857,173.63,134.455,137.192,152.724,166.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,1588,2382,3176,3970,3913,3856,3799,3742,3685,3645.2,3605.4,3565.6,3525.8,3486,3452.4,3418.8,3385.2,3351.6,3318,3273.4,3228.8,3184.2,3139.6,3095
"Thailand",216,764,15,100,36002,38822,45684,46154,56212,83472,75858,110074,41078,25192,38070,46436,26698.82,52994.39,27022.19,25226.79,85314.4,69952.92,134146.46,181015.8,165189.03,114687.52,112071.51,74659.51,95420.35,53825.35,69861.75,99195.38,80679.27,90897.07,120953.56,93225.44,62579.56,73232.59,75905.95,70633.48,47940,37981.64,32510.84,34274.28,56977.16,13249.31,12918.43,13452.35,13221.11,9541,8945.99,8930,8356.6,7963.68,6768,7050,,,1.277,1.336,1.525,1.495,1.767,2.546,2.246,3.164,1.147,0.683,1.003,1.189,0.665,1.284,0.638,0.582,1.921,1.54,2.891,3.821,3.419,2.329,2.234,1.461,1.834,1.016,1.294,1.805,1.445,1.606,2.115,1.617,1.078,1.252,1.287,1.186,0.796,0.624,0.528,0.55,0.903,0.208,0.2,0.207,0.202,0.145,0.135,0.135,0.126,0.12,0.102,0.106,,,135290.563,145887.735,171674.186,173440.382,211236.962,313676.291,285063.927,413642.947,154365.472,94668.07,143061.822,174500.099,100330.455,199145.638,101545.684,94798.818,320599.777,262873.449,504103.902,680232.471,620757.659,430979.92,421149.327,280560.178,358576.559,202268.272,262530.857,372762.553,303181.608,341578.695,454526.837,350328.377,235165.376,275198.009,285244.129,265430.899,180151.924,142729.777,122171.264,128798.028,214112.328,49789.096,48545.695,50552.093,49683.125,35853.765,33617.812,33557.711,31402.953,29926.414,25433.213,26492.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.798,5.02,5.732,5.618,6.639,9.568,8.44,11.891,4.309,2.567,3.769,4.468,2.498,4.827,2.399,2.185,7.219,5.789,10.865,14.36,12.847,8.751,8.395,5.491,6.891,3.816,4.862,6.783,5.43,6.037,7.948,6.076,4.05,4.705,4.836,4.456,2.992,2.344,1.983,2.066,3.395,0.78,0.753,0.777,0.758,0.544,0.509,0.507,0.474,0.451,0.382,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15115,15115,14689.2,14263.4,13837.6,13411.8,12986,12631.8,12277.6,11923.4,11569.2,11215,10944,10673,10402,10131,9860,9662.8,9465.6,9268.4,9071.2,8874,8712.6,8551.2,8389.8,8228.4,8067,7960.2,7853.4,7746.6,7639.8,7533,7466,7399,7332,7265,7198,7115.4,7032.8,6950.2,6867.6,6785,6721.8,6658.6,6595.4,6532.2,6469,6430.2,6391.4,6352.6,6313.8,6275
"The former Yugoslav Republic of Macedonia",154,807,41.8333,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,15,15,6,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.008,0.008,0.003,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.521,15.301,15.301,6.12,8.16,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.008,0.008,0.003,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.8,1323.6,1985.4,2647.2,3309,3292.6,3276.2,3259.8,3243.4,3227,3214.6,3202.2,3189.8,3177.4,3165,3157,3149,3141,3133,3125,3119.2,3113.4,3107.6,3101.8,3096
"Timor-Leste",176,626,-8.55,125.5167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15859,15859,15579.8,15300.6,15021.4,14742.2,14463,14145.6,13828.2,13510.8,13193.4,12876,12900.4,12924.8,12949.2,12973.6,12998,13150.4,13302.8,13455.2,13607.6,13760,13382.2,13004.4,12626.6,12248.8,11871,11563.4,11255.8,10948.2,10640.6,10333,10217.8,10102.6,9987.4,9872.2,9757,9655.8,9554.6,9453.4,9352.2,9251,8949.4,8647.8,8346.2,8044.6,7743,7578.6,7414.2,7249.8,7085.4,6921
